Seasons,Hailsimulationlevel,Cultivar,rep, Y,YR,MCC, MCCR,TM, TDM,TDMR,SC,SCR, ST,MT,LT,LTR,SB,RB,R/S,TE
1,0,Mondial,1,67.44510236,100,88.6,100,127,18.20016142,100,15.50144695,100,28.57142857,42.85714286,28.57142857,100,0.265371165,0.065594309,0.247179487,29
1,0,Mondial,2,69.02372058,100,94.92,100,107,18.92744479,100,16.94743155,100,36.36363636,45.45454545,18.18181818,100,0.4175173,0.062600377,0.149934811,22
1,0,Mondial,3,53.3736262,100,92.98,100,107,19.88781234,100,17.37309393,100,30.76923077,46.15384615,23.07692308,100,0.416156423,0.035927173,0.086330935,29
1,0,Sababa,1,43.43921847,100,90.81,100,99,18.10776942,100,13.6831088,100,46.15384615,38.46153846,15.38461538,100,0.181541095,0.042187211,0.232383808,29
1,0,Sababa,2,46.1065389,100,92.29,100,107,17.47343566,100,15.1113941,100,53.84615385,30.76923077,15.38461538,100,0.195694224,0.097166673,0.496522949,22
1,0,Sababa,3,53.99962998,100,89.4,100,99,19.85887097,100,15.9602648,100,50,28.57142857,21.42857143,100,0.029667135,0.017963587,0.605504587,22
1,0,Panamera,1,56.6125153,100,90.15,100,127,21.20192308,100,16.94706815,100,20,40,40,100,0.649955224,0.07838656,0.120603015,36
1,0,Panamera,2,80.64561675,100,95.64,100,107,20.01349983,100,16.95850713,100,16.66666667,41.66666667,41.66666667,100,0.500530844,0.062600377,0.125067972,29
1,0,Panamera,3,69.05093813,100,88.94,100,127,20.06306661,100,16.73766749,100,10,40,50,100,0.4175173,0.150513082,0.360495437,36
1,0,Tyson,1,51.16900421,100,93,100,107,21.06382979,100,16.65272049,100,57.14285714,35.71428571,7.142857143,100,0.239514488,0.004082633,0.017045455,29
1,0,Tyson,2,39.71041338,100,93,100,99,14.49746504,100,12.98087508,100,53.33333333,33.33333333,13.33333333,100,0.219917848,0.075392629,0.342821782,22
1,0,Tyson,3,46.37871446,100,87,100,99,17.19483568,100,15.39607188,100,53.33333333,26.66666667,20,100,0.29449395,0.103154535,0.350277264,22
2,0,Mondial,1,55.00667953,100,95.2,100,127,18.76590834,100,14.91797009,100,45.45454545,27.27272727,27.27272727,100,0.235431854,0.017963587,0.076300578,29
2,0,Mondial,2,61.04897683,100,91,100,107,20.59580785,100,15.20343197,100,41.66666667,41.66666667,16.66666667,100,0.183174148,0,0,29
2,0,Mondial,3,66.30196503,100,95.03,100,107,18.70710027,100,15.03460465,100,57.14285714,28.57142857,14.28571429,100,0.244957999,0.047086371,0.192222222,36
2,0,Sababa,1,68.37049925,100,91.35,100,106,20.66082803,100,15.70254748,100,53.84615385,30.76923077,15.38461538,100,0.188617659,0.06613866,0.350649351,22
2,0,Sababa,2,47.84846245,100,89.2,100,99,16.54450974,100,12.71857863,100,46.15384615,23.07692308,30.76923077,100,0.280612997,0.019324464,0.068865179,36
2,0,Sababa,3,45.37166491,100,98.55,100,92,17.04996866,100,14.29843789,100,50,28.57142857,21.42857143,100,0.188617659,0.000816527,0.004329004,22
2,0,Panamera,1,56.50364508,100,96.71,100,134,19.23039391,100,14.78334993,100,38.46153846,23.07692308,38.46153846,100,0.444734856,0.04409244,0.099143207,36
2,0,Panamera,2,55.03389708,100,85.91,100,127,18.49653808,100,14.46151645,100,30,30,40,100,0.216379566,0.040281982,0.186163522,36
2,0,Panamera,3,64.39673615,100,89.83,100,127,20.48778497,100,18.16560723,100,27.27272727,18.18181818,54.54545455,100,0.219373497,0.07593698,0.346153846,29
2,0,Tyson,1,40.20032937,100,92.27,100,106,16.94373781,100,13.39544293,100,57.14285714,28.57142857,14.28571429,100,0.167932317,0.017419235,0.103727715,29
2,0,Tyson,2,50.080302,100,88.04,100,92,19.50891141,100,16.10497509,100,60,26.66666667,13.33333333,100,0.104515413,0,0,22
2,0,Tyson,3,45.04505424,100,89.83,100,99,16.78193308,100,14.07365801,100,66.66666667,25,8.333333333,100,0.213385635,0,0,22
1,25,Mondial,1,52.91092776,78.4503632,83.3,94.01805869,107,16.57710944,91.08221107,14.11906062,91.08221107,36.36363636,45.45454545,18.18181818,63.63636364,0.261832883,0.134726899,0.514553015,29
1,25,Mondial,2,53.78188953,77.91798107,87.4,92.07753898,127,17.67505099,93.38318605,14.20516275,83.81897109,37.5,50,12.5,68.75,0.336953336,0.098799726,0.293214863,22
1,25,Mondial,3,45.64384046,85.51759306,82.2,88.40610884,107,18.18723912,91.449169,13.98142552,80.47746462,27.27272727,54.54545455,18.18181818,78.78787879,0.280068645,0.01959664,0.069970845,29
1,25,Sababa,1,37.26083339,85.77694236,83.01,91.41063759,99,15.50467549,85.62443629,11.98691425,87.60373407,50,30,20,130,0.146430448,0,0,29
1,25,Sababa,2,38.48562338,83.47107438,85.8,92.96781883,99,16.58543246,94.91798172,13.25702641,87.72867894,58.33333333,33.33333333,8.333333333,54.16666667,0.156773119,0.097166673,0.619791667,22
1,25,Sababa,3,34.83847095,64.51612903,87.47,97.84116331,107,15.56710996,78.38869584,11.62730327,72.85156865,50,30,20,93.33333333,0.020140991,0.000816527,0.040540541,22
1,25,Panamera,1,56.17703441,99.23076923,88.19,97.82584581,107,20.34883721,95.97637505,15.64315233,92.30595043,11.11111111,44.44444444,44.44444444,111.1111111,0.485561189,0.089001406,0.183295964,36
